vessel_volume,feed_temperature,feed_mass_flow,tr2-butene_mass_fr,feed_mass_dens,prod_mass_dens,prod_temperature
0.11,25.0,0.8056,0.9467,614.5528,561.4428,56.1346
0.11,29.0,0.8056,0.9463,614.5528,561.4428,56.1346
0.11,29.0,0.8056,0.9463,614.5528,561.4428,56.1346
0.11,29.0,0.8056,0.946,610.913,557.9246,58.6635
0.11,32.0,0.8056,0.946,610.913,557.9246,58.6635
0.11,33.0,0.8056,0.9459,609.691,556.7397,59.5071
0.11,33.0,0.8056,0.9459,609.691,556.7397,59.5071
0.11,33.0,0.8056,0.9459,609.691,556.7397,59.5071
0.11,36.0,0.8056,0.9456,604.7568,551.9382,62.8821
0.11,37.0,0.8056,0.9455,604.7568,551.9382,62.8821
0.11,37.0,0.8056,0.9455,604.7568,551.9382,62.8821
0.11,37.0,0.8056,0.9455,604.7568,551.9382,62.8821
0.11,41.0,0.8056,0.945,599.7452,547.0335,66.2575
0.11,41.0,0.8056,0.945,599.7452,547.0335,66.2575
0.11,41.0,0.8056,0.945,599.7452,547.0335,66.2575
0.11,44.0,0.8056,0.9446,595.9325,543.2828,68.7885
0.11,44.0,0.8056,0.9446,595.9325,543.2828,68.7885
0.11,44.0,0.8056,0.9446,595.9325,543.2828,68.7885
0.11,44.0,0.8056,0.9446,595.9325,543.2828,68.7885
0.11,47.0,0.8056,0.9443,590.772,538.179,72.1616
0.11,48.0,0.8056,0.9441,590.772,538.179,72.1616
0.11,48.0,0.8056,0.9441,590.772,538.179,72.1616
0.11,48.0,0.8056,0.9441,590.772,538.179,72.1616
0.11,16.0,0.9722,0.9375,629.906,576.6891,44.9123
0.11,16.0,0.9722,0.9375,629.906,576.6891,44.9123
0.11,16.0,0.9722,0.9375,629.906,576.6891,44.9123
0.11,16.0,0.9722,0.9375,629.906,576.6891,44.9123
0.11,16.0,0.9722,0.9375,629.906,576.6891,44.9123
0.11,16.0,0.9722,0.937,624.0771,571.1418,49.1241
0.11,21.0,0.9722,0.937,624.0771,571.1418,49.1241
0.11,21.0,0.9722,0.937,624.0771,571.1418,49.1241
0.11,21.0,0.9722,0.937,620.5352,567.7566,51.652
0.11,24.0,0.9722,0.9366,620.5352,567.7566,52.4954
0.11,25.0,0.9722,0.9365,619.3468,566.6174,52.4954
0.11,25.0,0.9722,0.9365,619.3468,566.6174,52.4954
0.11,25.0,0.9722,0.9365,619.3468,566.6174,52.4954
0.11,25.0,0.9722,0.9365,619.3468,566.6174,55.8723
0.11,29.0,0.9722,0.936,614.5528,562.0048,55.8723
0.11,29.0,0.9722,0.936,614.5528,562.0048,55.8723
0.11,29.0,0.9722,0.936,614.5528,562.0048,55.8723
0.11,29.0,0.9722,0.936,614.5528,562.0048,55.8723
0.11,29.0,0.9722,0.936,614.5528,562.0048,55.8723
0.11,34.0,0.9722,0.9354,608.4644,556.1135,60.095
0.11,36.0,0.9722,0.9351,605.9974,553.7175,61.783
0.11,36.0,0.9722,0.9351,605.9974,553.7175,61.783
0.11,37.0,0.9722,0.935,604.7568,552.5091,62.6277
0.11,37.0,0.9722,0.935,602.261,550.0724,64.3175
0.11,39.0,0.9722,0.9347,602.261,550.0724,64.3175
0.11,40.0,0.9722,0.9346,601.0057,548.8445,65.1623
0.11,40.0,0.9722,0.9346,601.0057,548.8445,65.1623
0.11,40.0,0.9722,0.9346,601.0057,548.8445,65.1623
0.11,40.0,0.9722,0.9346,601.0057,548.8445,65.1623
0.11,40.0,0.9722,0.9346,601.0057,548.8445,65.1623
0.11,46.0,0.9722,0.9337,593.3636,541.3292,70.2304
0.11,46.0,0.9722,0.9337,593.3636,541.3292,70.2304
0.11,46.0,0.9722,0.9337,593.3636,541.3292,70.2304
0.11,48.0,0.9722,0.9334,590.772,538.7657,71.9185
0.11,48.0,0.9722,0.9334,590.772,538.7657,73.6062
0.11,50.0,0.9722,0.9331,588.1569,534.86,74.45
0.11,51.0,0.9722,0.933,586.8402,534.86,74.45
0.11,51.0,0.9722,0.933,586.8402,534.86,74.45
0.11,51.0,0.9722,0.933,586.8402,534.86,74.45
0.11,51.0,0.9722,0.933,586.8402,534.86,74.45
0.11,51.0,0.9722,0.933,586.8402,534.86,74.45
0.11,20.0,1.1389,0.9271,625.2501,572.8039,48.0147
0.11,20.0,1.1389,0.9271,625.2501,572.8039,48.0147
0.11,20.0,1.1389,0.9271,625.2501,572.8039,48.0147
0.11,23.0,1.1389,0.9267,621.7197,569.4346,50.5461
0.11,23.0,1.1389,0.9265,619.3468,567.1629,52.2347
0.11,25.0,1.1389,0.9265,619.3468,567.1629,53.0792
0.11,26.0,1.1389,0.9263,618.1544,566.0193,53.0792
0.11,26.0,1.1389,0.9263,618.1544,566.0193,53.0792
0.11,26.0,1.1389,0.9263,618.1544,566.0193,53.0792
0.11,26.0,1.1389,0.9263,618.1544,566.0193,53.0792
0.11,26.0,1.1389,0.9263,618.1544,566.0193,53.0792
0.11,32.0,1.1389,0.9255,610.913,559.0404,58.1512
0.11,32.0,1.1389,0.9255,610.913,559.0404,58.1512
0.11,32.0,1.1389,0.9252,608.4644,556.6699,59.8415
0.11,34.0,1.1389,0.9252,608.4644,556.6699,59.8415
0.11,35.0,1.1389,0.925,607.2332,555.4751,60.6871
0.11,35.0,1.1389,0.925,607.2332,555.4751,60.6871
0.11,35.0,1.1389,0.925,607.2332,555.4751,60.6871
0.11,35.0,1.1389,0.925,607.2332,555.4751,60.6871
0.11,35.0,1.1389,0.925,607.2332,555.4751,60.6871
0.11,40.0,1.1389,0.9243,599.7452,548.1719,65.7623
0.11,41.0,1.1389,0.9241,599.7452,548.1719,65.7623
0.11,42.0,1.1389,0.924,598.4796,546.9314,66.6081
0.11,42.0,1.1389,0.924,598.4796,546.9314,66.6081
0.11,42.0,1.1389,0.924,598.4796,546.9314,66.6081
0.11,45.0,1.1389,0.9235,594.6508,543.1675,69.1453
0.11,45.0,1.1389,0.9235,594.6508,543.1675,69.1453
0.11,45.0,1.1389,0.9235,594.6508,543.1675,69.1453
0.11,48.0,1.1389,0.923,590.772,539.3374,71.6813
0.11,49.0,1.1389,0.9228,589.4674,538.0454,72.5263
0.11,51.0,1.1389,0.9224,586.8402,535.4373,74.2155
0.11,51.0,1.3056,0.918,629.906,577.7551,44.3791
0.11,16.0,1.3056,0.9179,628.7474,576.6569,45.2225
0.11,17.0,1.3056,0.9179,628.7474,576.6569,45.2225
0.11,19.0,1.3056,0.9176,626.4195,574.4461,46.9103
0.11,19.0,1.3056,0.9176,626.4195,574.4461,46.9103
0.11,19.0,1.3056,0.9176,626.4195,574.4461,46.9103
0.11,19.0,1.3056,0.9176,626.4195,574.4461,46.9103
0.11,19.0,1.3056,0.9176,626.4195,574.4461,46.9103
0.11,19.0,1.3056,0.9176,620.5352,568.8324,51.1351
0.11,24.0,1.3056,0.9167,619.3468,567.6964,51.9792
0.11,25.0,1.3056,0.9167,619.3468,567.6964,51.9792
0.11,26.0,1.3056,0.9165,618.1544,566.5535,52.8248
0.11,28.0,1.3056,0.9162,615.7575,564.2515,54.5165
0.11,28.0,1.3056,0.9162,615.7575,564.2515,54.5165
0.11,28.0,1.3056,0.9162,615.7575,564.2515,54.5165
0.11,30.0,1.3056,0.9159,613.3439,561.9277,56.2088
0.11,30.0,1.3056,0.9159,613.3439,561.9277,56.2088
